Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
531272,,NIKKIGL,NIKKI GLOBAL FINANCE LTD.,Active,X ,10,INE526C01012,Finance (including NBFCs),Equity
531274,,KINETRU,KINETIC TRUST LTD.,Active,XT,10,INE674M01019,Finance (including NBFCs),Equity
531279,,TRISHAKT,TRISHAKTI ELECTRONICS & INDUSTRIES LTD.,Active,X ,10,INE238C01014,Finance (including NBFCs),Equity
531283,,CINDRELL,CINDRELLA FINANCIAL SERVICES LTD.,Active,XT,10,INE897D01015,Finance (including NBFCs),Equity
531288,,LEADFIN,LEAD FINANCIAL SERVICES LTD.,Active,XT,10,INE531D01010,Finance (including NBFCs),Equity
531314,,INTCAPM,INTEGRA CAPITAL MANAGEMENT LTD.,Active,X ,10,INE366H01012,Finance (including NBFCs),Equity
531319,,MARUTISE,MARUTI SECURITIES LTD.,Active,X ,10,INE368C01019,Finance (including NBFCs),Equity
531341,,GUJINV,GUJARAT INVESTA LTD.,Active,X ,10,INE373D01017,Finance (including NBFCs),Equity
531358,,CHOICEIN,CHOICE INTERNATIONAL LTD.,Active,X ,10,INE102B01014,Finance (including NBFCs),Equity
531387,,HASTIFIN,HASTI FINANCE LTD.,Active,X ,10,INE671D01014,Finance (including NBFCs),Equity
531390,,UPSURGE,UPSURGE INVESTMENT & FINANCE LTD.,Active,X ,10,INE890B01014,Finance (including NBFCs),Equity
531417,,MEGACOR,MEGA CORPORATION LTD.,Active,XT,1,INE804B01023,Finance (including NBFCs),Equity
531433,,SUNGOLD,SUNGOLD CAPITAL LTD.,Active,X ,10,INE271D01013,Finance (including NBFCs),Equity
531505,,INDERGR,INDERGIRI FINANCE LTD.,Active,X ,10,INE628F01019,Finance (including NBFCs),Equity
531557,,AMITSEC,AMIT SECURITIES LTD.,Active,Z ,10,INE137E01014,Finance (including NBFCs),Equity
531582,,BERYLSE,BERYL SECURITIES LTD.,Active,XT,10,INE508J01015,Finance (including NBFCs),Equity
531583,,RAP,RAP MEDIA LTD.,Active,X ,10,INE483D01014,Finance (including NBFCs),Equity
531591,,BAMPSL,BAMPSL SECURITIES LTD.,Active,XT,10,INE802A01037,Finance (including NBFCs),Equity
531595,,CGCL,Capri Global Capital Limited,Active,A ,2,INE180C01026,Finance (including NBFCs),Equity
531644,,TOKYOFIN,TOKYO FINANCE LTD.,Active,X ,10,INE546D01018,Finance (including NBFCs),Equity
531652,,THIRDFIN,THIRDWAVE FINANCIAL INTERMEDIARIES LTD.,Active,XT,10,INE528C01018,Finance (including NBFCs),Equity
531658,,TRIJAL,TRIJAL INDUSTRIES LTD.,Active,XT,10,INE454E01013,Finance (including NBFCs),Equity
531735,,PRISMFN,PRISM FINANCE LTD.,Active,P ,10,INE429Q01019,Finance (including NBFCs),Equity
531758,,GKCONS,G.K.CONSULTANTS LTD.,Active,X ,10,INE131D01019,Finance (including NBFCs),Equity
531841,,INDUSFINL,Indus Finance Ltd,Active,X ,10,INE935D01013,Finance (including NBFCs),Equity
531878,,ANJANIFIN,ANJANI FINANCE LTD.,Active,X ,10,INE283D01018,Finance (including NBFCs),Equity
531962,,SHREMETAL,SHREE METALLOYS LTD.,Active,XT,10,INE914B01012,Finance (including NBFCs),Equity
531996,,ODYCORP,ODYSSEY CORPORATION LTD.,Active,X ,5,INE839E01023,Finance (including NBFCs),Equity
532035,,UNISTRMU,UNISTAR MULTIMEDIA LTD.,Active,X ,10,INE808C01014,Finance (including NBFCs),Equity
532057,,ABHICAP,ABHINAV CAPITAL SERVICES LTD.,Active,XT,10,INE516F01016,Finance (including NBFCs),Equity
532092,,SAGARPROD,Sagar Productions Limited,Active,XT,1,INE807D01030,Finance (including NBFCs),Equity
532113,,BRIJLEAS,BRIJLAXMI LEASING & FINANCE LTD.,Active,X ,10,INE957E01031,Finance (including NBFCs),Equity
532138,,SMCREDT,SMC CREDITS LTD.,Active,XT,10,INE440E01012,Finance (including NBFCs),Equity
532164,,MINOLTAF,MINOLTA FINANCE LTD.,Active,Z ,10,INE514C01018,Finance (including NBFCs),Equity
532216,,HBSTOCK,HB STOCKHOLDINGS LTD.,Active,B ,10,INE550B01022,Finance (including NBFCs),Equity
532256,,NSIL,NALWA SONS INVESTMENTS LTD.,Active,B ,10,INE023A01030,Finance (including NBFCs),Equity
532320,,VAARAD,Vaarad Ventures Ltd,Active,X ,1,INE418B01048,Finance (including NBFCs),Equity
532366,,PNBGILTS,PNB GILTS LTD.,Active,B ,10,INE859A01011,Finance (including NBFCs),Equity
532485,,BLIL,BALMER LAWRIE INVESTMENTS LTD.,Active,B ,10,INE525F01017,Finance (including NBFCs),Equity
532498,,SHRIRAMCIT,SHRIRAM CITY UNION FINANCE LTD.,Active,A ,10,INE722A01011,Finance (including NBFCs),Equity
532659,,IDFC,IDFC LIMITED,Active,A ,10,INE043D01016,Finance (including NBFCs),Equity
532720,,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,Active,A ,2,INE774D01024,Finance (including NBFCs),Equity
532810,,PFC,POWER FINANCE CORPORATION LTD.,Active,A ,10,INE134E01011,Finance (including NBFCs),Equity
532812,,TFL,TRANSWARRANTY FINANCE LTD.,Active,B ,10,INE804H01012,Finance (including NBFCs),Equity
532892,,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LTD.,Active,A ,1,INE338I01027,Finance (including NBFCs),Equity
532900,,PAISALO,Paisalo Digital Ltd,Active,B ,10,INE420C01042,Finance (including NBFCs),Equity
532955,,RECLTD,REC Ltd,Active,A ,10,INE020B01018,Finance (including NBFCs),Equity
533095,,BENGALASM,BENGAL & ASSAM COMPANY LTD.,Active,B ,10,INE083K01017,Finance (including NBFCs),Equity
533344,,PFS,PTC INDIA FINANCIAL SERVICES LTD.,Active,B ,10,INE560K01014,Finance (including NBFCs),Equity
533398,,MUTHOOTFIN,MUTHOOT FINANCE LTD.,Active,A ,10,INE414G01012,Finance (including NBFCs),Equity
534060,,PMCFIN,PMC Fincorp Limited,Active,X ,1,INE793G01035,Finance (including NBFCs),Equity
534109,,PYXISFIN,Pyxis Finvest Ltd,Active,M ,10,INE883L01018,Finance (including NBFCs),Equity
535267,,COMFINCAP,COMFORT FINCAP LTD.,Active,X ,10,INE274M01018,Finance (including NBFCs),Equity
535566,,KIFS,KIFS FINANCIAL SERVICES LTD.,Active,X ,10,INE902D01013,Finance (including NBFCs),Equity
535667,,IFINSEC,INDIA FINSEC LTD.,Active,T ,10,INE474O01010,Finance (including NBFCs),Equity
535910,,MMLF,Money Masters Leasing & Finance Ltd,Active,M ,10,INE340O01013,Finance (including NBFCs),Equity
536710,,SRGSFL,S R G Securities Finance Ltd,Active,M ,10,INE326P01019,Finance (including NBFCs),Equity
536737,,ACFSL,Amrapali Capital and Finance Services Ltd,Active,M ,10,INE218P01018,Finance (including NBFCs),Equity
536965,,BPCAP,B. P. Capital Ltd,Active,X ,10,INE947C01010,Finance (including NBFCs),Equity
537069,,ARNOLD,Arnold Holdings Ltd,Active,X ,10,INE185K01036,Finance (including NBFCs),Equity
537800,,MANGIND,Mangalam Industrial Finance Ltd,Active,XT,1,INE717C01025,Finance (including NBFCs),Equity
537820,,VFL,Viji Finance Ltd,Active,B ,1,INE159N01027,Finance (including NBFCs),Equity
538212,,SHARPINV,Sharp Investments Ltd,Active,X ,1,INE909D01026,Finance (including NBFCs),Equity
538402,,SPS,SPS Finquest Ltd,Active,M ,10,INE502O01018,Finance (including NBFCs),Equity
538464,,TPROJECT,Thirani Projects Ltd,Active,X ,10,INE901C01017,Finance (including NBFCs),Equity
538476,,CTL,Capital Trade Links Ltd,Active,X ,1,INE172D01021,Finance (including NBFCs),Equity
538540,,RLFL,Ramchandra Leasing & Finance Ltd,Active,XT,1,INE516P01015,Finance (including NBFCs),Equity
538565,,VISTARAMAR,Vistar Amar Ltd,Active,X ,10,INE878P01019,Finance (including NBFCs),Equity
538597,,TTIENT,TTI Enterprise Ltd,Active,XT,10,INE404F01031,Finance (including NBFCs),Equity
538646,,QGO,QGO Finance Ltd,Active,XT,10,INE837C01013,Finance (including NBFCs),Equity
538647,,PURSHOTTAM,Purshottam Investofin Ltd,Active,X ,10,INE729C01020,Finance (including NBFCs),Equity
538668,,NAYSAA,Naysaa Securities Ltd,Active,M ,10,INE898Q01015,Finance (including NBFCs),Equity
538708,,ETIL,Econo Trade (India) Ltd,Active,X ,10,INE937K01014,Finance (including NBFCs),Equity
538714,,SUCHITRA,Suchitra Finance & Trading Company Ltd,Active,X ,10,INE475D01010,Finance (including NBFCs),Equity
538732,,VGCL,Vibrant Global Capital Ltd,Active,T ,10,INE761Q01015,Finance (including NBFCs),Equity
538772,,NIYOGIN,Niyogin Fintech Ltd,Active,X ,10,INE480D01010,Finance (including NBFCs),Equity
538777,,ASIACAP,Asia Capital Ltd,Active,XT,10,INE131Q01011,Finance (including NBFCs),Equity
538778,,AKASHDEEP,Akashdeep Metal Industries Ltd,Active,X ,10,INE149Q01013,Finance (including NBFCs),Equity
538787,,GBFL,Goenka Business & Finance Ltd,Active,XT,10,INE997C01015,Finance (including NBFCs),Equity
538788,,GILADAFINS,Gilada Finance & Investments Ltd,Active,X ,10,INE918C01011,Finance (including NBFCs),Equity
538834,,MEL,Meenakshi Enterprises Ltd,Active,X ,10,INE242Q01016,Finance (including NBFCs),Equity
538860,,PANAFIC,Panafic Industrials Ltd,Active,X ,1,INE655P01029,Finance (including NBFCs),Equity
538863,,AMARNATH,Sri Amarnath Finance Ltd,Active,XT,10,INE985Q01010,Finance (including NBFCs),Equity
538868,,CSL,Continental Securities Ltd,Active,XT,10,INE183Q01012,Finance (including NBFCs),Equity
538881,,GALADAFIN,Galada Finance Ltd,Active,X ,10,INE243E01010,Finance (including NBFCs),Equity
538897,,SHRINIWAS,Shri Niwas Leasing And Finance Ltd,Active,X ,10,INE201F01015,Finance (including NBFCs),Equity
538918,,VANICOM,Vani Commercials Ltd,Active,X ,10,INE661Q01017,Finance (including NBFCs),Equity
538928,,KARNAVATI,Karnavati Finance Ltd,Active,B ,10,INE554R01012,Finance (including NBFCs),Equity
538943,,SONAL,Sonal Mercantile Ltd,Active,XT,10,INE321M01017,Finance (including NBFCs),Equity
538952,,ALFL,Abhinav Leasing & Finance Ltd,Active,X ,1,INE211D01027,Finance (including NBFCs),Equity
538975,,SHREESEC,Shree Securities Ltd,Active,XT,10,INE397C01018,Finance (including NBFCs),Equity
539016,,NEIL,Neil Industries Ltd,Active,X ,10,INE396C01010,Finance (including NBFCs),Equity
539090,,RAJPUTANA,Rajputana Investment and Finance Ltd,Active,XT,10,INE751R01014,Finance (including NBFCs),Equity
539110,,NORTHLINK,Northlink Fiscal and Capital Services Ltd,Active,X ,10,INE736P01019,Finance (including NBFCs),Equity
539113,,PML,Paul Merchants Ltd,Active,X ,10,INE291E01019,Finance (including NBFCs),Equity
539114,,HINDSECR,Hind Securities & Credits Ltd,Active,XT,10,INE727Q01016,Finance (including NBFCs),Equity
539117,,SUJALA,Sujala Trading & Holdings Ltd,Active,X ,10,INE029H01016,Finance (including NBFCs),Equity
539124,,SARVOTTAM,Sarvottam Finvest Ltd,Active,XT,10,INE822Q01015,Finance (including NBFCs),Equity
539174,,HELPAGE,Helpage Finlease Ltd,Active,XT,10,INE738P01015,Finance (including NBFCs),Equity
539177,,AIIL,Authum Investment & Infrastructure Ltd,Active,XT,10,INE206F01014,Finance (including NBFCs),Equity
539218,,SAUMYA,Saumya Consultants Ltd,Active,X ,10,INE563C01015,Finance (including NBFCs),Equity
539253,,SURYAINDIA,Surya India Ltd,Active,XT,10,INE446E01019,Finance (including NBFCs),Equity
539265,,AMRAFIN,Amrapali Fincap Ltd,Active,M ,10,INE990S01016,Finance (including NBFCs),Equity
539274,,BLFL,Boston Leasing and Finance Ltd,Active,Z ,10,INE962P01011,Finance (including NBFCs),Equity
539303,,MINDAFIN,Minda Finance Ltd,Active,XT,10,INE197E01018,Finance (including NBFCs),Equity
539384,,KRISHNACAP,Krishna Capital and Securities Ltd,Active,XT,10,INE897B01019,Finance (including NBFCs),Equity
539391,,ACME,Acme Resources Ltd,Active,X ,10,INE636B01011,Finance (including NBFCs),Equity
539404,,SATIN,Satin Creditcare Network Ltd,Active,B ,10,INE836B01017,Finance (including NBFCs),Equity
539434,,BRIPORT,Brilliant Portfolios Ltd,Active,X ,10,INE661F01010,Finance (including NBFCs),Equity
539468,,TFSL,Typhoon Financial Services Ltd,Active,X ,10,INE761R01013,Finance (including NBFCs),Equity
539481,,PARIKSHA,Pariksha Fin- Invest- Lease Ltd,Active,XT,10,INE270F01010,Finance (including NBFCs),Equity
539492,,GARBIFIN,Garbi Finvest Ltd,Active,XT,10,INE721C01019,Finance (including NBFCs),Equity
539493,,ADHARSHILA,Adharshila Capital Services Ltd,Active,XT,10,INE269F01012,Finance (including NBFCs),Equity
539494,,SMARTFIN,Smart Finsec Ltd,Active,XT,10,INE766D01012,Finance (including NBFCs),Equity
539495,,RAJKOTINV,Rajkot Investment Trust Ltd,Active,Z ,10,INE176R01014,Finance (including NBFCs),Equity
539506,,ADCON,Adcon Capital Services Ltd,Active,XT,10,INE805Q01010,Finance (including NBFCs),Equity
539552,,FMEC,F Mec International Financial Services Ltd,Active,XT,10,INE108T01013,Finance (including NBFCs),Equity
539574,,SCL,Sunshine Capital Ltd,Active,X ,10,INE974F01017,Finance (including NBFCs),Equity
539598,,ORACLECR,Oracle Credit Ltd,Active,X ,10,INE727C01016,Finance (including NBFCs),Equity
539621,,BCLENTERPR,BCL Enterprises Ltd,Active,XT,10,INE368E01015,Finance (including NBFCs),Equity
539662,,BFLAFL,BFL Asset Finvest Ltd,Active,X ,10,INE948Q01018,Finance (including NBFCs),Equity
539669,,RGF,RGF Capital Markets Ltd,Active,X ,1,INE684D01025,Finance (including NBFCs),Equity
539681,,DAL,Dynamic Archistructures Ltd,Active,XT,10,INE874E01012,Finance (including NBFCs),Equity
539683,,SHIVKAMAL,Shivkamal Impex Ltd,Active,XT,10,INE429R01017,Finance (including NBFCs),Equity
539692,,IFINSER,Interactive Financial Services Ltd,Active,XT,10,INE064T01018,Finance (including NBFCs),Equity
539773,,ADVIKCA,Advik Capital Ltd,Active,X ,1,INE178T01024,Finance (including NBFCs),Equity
539833,,SICLTD,Shivom Investment & Consultancy Ltd,Active,X ,10,INE074G01014,Finance (including NBFCs),Equity
539835,,SUPERIOR,Superior Finlease Ltd,Active,XT,10,INE574R01010,Finance (including NBFCs),Equity
539839,,FRANKLIN,Franklin Leasing and Finance Ltd,Active,M ,10,INE399S01010,Finance (including NBFCs),Equity
539874,,UJJIVAN,Ujjivan Financial Services Ltd,Active,A ,10,INE334L01012,Finance (including NBFCs),Equity
539909,,LATENT,Latent Light Finance Ltd,Active,XT,10,INE515K01018,Finance (including NBFCs),Equity
539946,,BAZELINTER,Bazel International Ltd,Active,XT,10,INE217E01014,Finance (including NBFCs),Equity
540168,,SUPRAP,Supra Pacific Management Consultancy Ltd,Active,XT,10,INE268T01015,Finance (including NBFCs),Equity
540181,,SALEM,Salem Erode Investments Ltd,Active,XT,1,INE894E01028,Finance (including NBFCs),Equity
540211,,SIFL,Sparkling (India) Finshares Ltd,Active,XT,10,INE181T01010,Finance (including NBFCs),Equity
540254,,MTPL,Marg Techno Projects Ltd,Active,XT,10,INE245H01018,Finance (including NBFCs),Equity
540749,,MASFIN,MAS Financial Services Ltd,Active,A ,10,INE348L01012,Finance (including NBFCs),Equity
541133,,ACFL,Apex Capital And Finance Ltd,Active,XT,10,INE758W01019,Finance (including NBFCs),Equity
541336,,INDOSTAR,Indostar Capital Finance Ltd,Active,A ,10,INE896L01010,Finance (including NBFCs),Equity
541358,,SHWL,Shree Worstex Ltd,Active,XT,10,INE926R01012,Finance (including NBFCs),Equity
541770,,CREDITACC,CreditAccess Grameen Ltd,Active,A ,10,INE741K01010,Finance (including NBFCs),Equity
542377,,AARSHYAM,Aar Shyam India Investment Company Ltd,Active,XT,10,INE512R01010,Finance (including NBFCs),Equity
542759,,SPANDANA,Spandana Sphoorty Financial Ltd,Active,B ,10,INE572J01011,Finance (including NBFCs),Equity
542774,,APMFINVEST,APM Finvest Ltd,Active,X ,2,INE08KJ01012,Finance (including NBFCs),Equity
542906,,EASUN,Easun Capital Markets Ltd,Active,XT,10,INE771C01014,Finance (including NBFCs),Equity
542911,,ASSAMENT,Assam Entrade Ltd,Active,XT,10,INE165G01010,Finance (including NBFCs),Equity
542931,,VARDHANCFL,Vardhan Capital & Finance Ltd,Active,XT,10,INE128G01018,Finance (including NBFCs),Equity
543066,,SBICARD,SBI Cards and Payment Services Ltd,Active,B ,10,INE018E01016,Finance (including NBFCs),Equity
543208,,BHARTIA,Bhartia Bachat Ltd,Active,XT,10,INE745R01016,Finance (including NBFCs),Equity
590071,,SUNDARMFIN,SUNDARAM FINANCE LTD.,Active,B ,10,INE660A01013,Finance (including NBFCs),Equity
590122,,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10,INE094B01013,Finance (including NBFCs),Equity
500106,,IFCI,IFCI LTD.,Active,A ,10,INE039A01010,Financial Institutions,Equity
526650,,TFCILTD,TOURISM FINANCE CORPORATION OF INDIA LTD.,Active,B ,10,INE305A01015,Financial Institutions,Equity
530927,,HARAFIN,HARYANA FINANCIAL CORPORATION LTD.,Active,ZY,10,NA          ,Financial Institutions,Equity
532160,,GUJSTATFIN,Gujarat State Financial Corporation,Active,T ,10,INE944A01011,Financial Institutions,Equity
500490,,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.,Active,A ,10,INE118A01012,Holding Companies,Equity
501301,,TATAINVEST,TATA INVESTMENT CORPORATION LTD.,Active,A ,10,INE672A01018,Holding Companies,Equity
504973,,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,Active,A ,1,INE149A01033,Holding Companies,Equity
523405,,JMFINANCIL,JM FINANCIAL LTD.-$,Active,A ,1,INE780C01023,Holding Companies,Equity
532468,,KAMAHOLD,Kama Holdings Limited-$,Active,B ,10,INE411F01010,Holding Companies,Equity
532642,,JSWHL,JSW Holdings Limited,Active,B ,10,INE824G01012,Holding Companies,Equity
532978,,BAJAJFINSV,BAJAJ FINSERV LTD.,Active,A ,5,INE918I01018,Holding Companies,Equity
533303,,BFINVEST,BF INVESTMENT LTD.,Active,B ,5,INE878K01010,Holding Companies,Equity
533315,,INOVSYNTH,INNOVASSYNTH INVESTMENTS LTD.,Active,X ,10,INE690J01011,Holding Companies,Equity
533316,,STEL,STEL Holdings Ltd,Active,B ,10,INE577L01016,Holding Companies,Equity
533519,,L&TFH,L&T FINANCE HOLDINGS LTD.,Active,A ,10,INE498L01015,Holding Companies,Equity
539844,,EQUITAS,Equitas Holdings Ltd,Active,A ,10,INE988K01017,Holding Companies,Equity
539883,,PILANIINVS,Pilani Investment and Industries Corporation Ltd,Active,B ,10,INE417C01014,Holding Companies,Equity
539940,,MAXVIL,Max Ventures and Industries Ltd,Active,B ,10,INE154U01015,Holding Companies,Equity
540691,,ABCAPITAL,Aditya Birla Capital Ltd,Active,A ,10,INE674K01013,Holding Companies,Equity
543223,,MAXINDIA,Max India Ltd,Active,B ,10,INE0CG601016,Holding Companies,Equity
500010,,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2,INE001A01036,Housing Finance ,Equity
500253,,LICHSGFIN,LIC HOUSING FINANCE LTD.,Active,A ,2,INE115A01026,Housing Finance ,Equity
509650,,ZHINDHSG,HINDUSTAN HOUSING CO.LTD.,Active,XT,25,INE083O01019,Housing Finance ,Equity
511072,,DHFL,DEWAN HOUSING FINANCE CORPORATION LTD.,Active,A ,10,INE202B01012,Housing Finance ,Equity
511196,,CANFINHOME,CAN FIN HOMES LTD.,Active,A ,2,INE477A01020,Housing Finance ,Equity
511533,,SAHARAHOUS,SAHARA HOUSINGFINA CORPORATION LTD.,Active,X ,10,INE135C01012,Housing Finance ,Equity
511676,,GICHSGFIN,GIC HOUSING FINANCE LTD.,Active,A ,10,INE289B01019,Housing Finance ,Equity
511740,,MEHTAHG,MEHTA HOUSING FINANCE LTD.,Active,XT,10,INE239B01014,Housing Finance ,Equity
523465,,INDBNK,IND BANK HOUSING LTD.,Active,B ,10,INE969D01012,Housing Finance ,Equity
530537,,MANRAJH,MANRAJ HOUSING FINANCE LTD.,Active,Z ,10,INE948I01015,Housing Finance ,Equity
530979,,INDIAHOME,INDIA HOME LOAN LTD.,Active,X ,10,INE274E01015,Housing Finance ,Equity
531556,,CORALFINAC,CORAL INDIA FINANCE & HOUSING LTD.,Active,B ,2,INE558D01021,Housing Finance ,Equity
